year,district,district_en,lat,lon,crop,yield_c_ha,tmean_mjja,precip_mjja,gdd5,heat30,dry_max,et0,p30_anom
2005,Атбасарский,Atbasar,51.81,68.36,barley,11.4,18.16,212.9,1488.6,11,17,478.0,48.9
2005,Атбасарский,Atbasar,51.81,68.36,flax,4.27,18.16,212.9,1488.6,11,17,478.0,48.9
2005,Атбасарский,Atbasar,51.81,68.36,oats,10.92,18.16,212.9,1488.6,11,17,478.0,48.9
2005,Атбасарский,Atbasar,51.81,68.36,rapeseed,6.17,18.16,212.9,1488.6,11,17,478.0,48.9
2005,Атбасарский,Atbasar,51.81,68.36,spring_wheat,10.64,18.16,212.9,1488.6,11,17,478.0,48.9
2005,Атбасарский,Atbasar,51.81,68.36,sunflower,4.56,18.16,212.9,1488.6,11,17,478.0,48.9
2005,Буландынский,Bulandy,52.63,70.42,barley,12.48,17.46,311.9,1359.9,3,9,424.6,53.3
2005,Буландынский,Bulandy,52.63,70.42,flax,4.68,17.46,311.9,1359.9,3,9,424.6,53.3
2005,Буландынский,Bulandy,52.63,70.42,oats,11.96,17.46,311.9,1359.9,3,9,424.6,53.3
2005,Буландынский,Bulandy,52.63,70.42,rapeseed,6.76,17.46,311.9,1359.9,3,9,424.6,53.3
2005,Буландынский,Bulandy,52.63,70.42,spring_wheat,11.65,17.46,311.9,1359.9,3,9,424.6,53.3
2005,Буландынский,Bulandy,52.63,70.42,sunflower,4.99,17.46,311.9,1359.9,3,9,424.6,53.3
2005,Бурабайский,Burabay,52.94,70.31,barley,12.6,17.29,311.1,1282.2,2,9,404.7,37.0
2005,Бурабайский,Burabay,52.94,70.31,flax,4.73,17.29,311.1,1282.2,2,9,404.7,37.0
2005,Бурабайский,Burabay,52.94,70.31,oats,12.08,17.29,311.1,1282.2,2,9,404.7,37.0
2005,Бурабайский,Burabay,52.94,70.31,rapeseed,6.83,17.29,311.1,1282.2,2,9,404.7,37.0
2005,Бурабайский,Burabay,52.94,70.31,spring_wheat,11.76,17.29,311.1,1282.2,2,9,404.7,37.0
2005,Бурабайский,Burabay,52.94,70.31,sunflower,5.04,17.29,311.1,1282.2,2,9,404.7,37.0
