year,district,district_en,lat,lon,crop,yield_c_ha,tmean_mjja,precip_mjja,gdd5,heat30,dry_max,et0,p30_anom,precip_spring,tmax_july,dtr,vpd_proxy,spei_proxy,year_trend,yield_roll3,ndvi_max,ndvi_flag
2005,Атбасарский,Atbasar,51.81,68.36,barley,11.4,18.16,212.9,1488.6,11,17,478.0,48.9,109.0,25.56,27.53,0.783,-265.1,0,,,0
2005,Атбасарский,Atbasar,51.81,68.36,flax,4.27,18.16,212.9,1488.6,11,17,478.0,48.9,109.0,25.56,27.53,0.783,-265.1,0,,,0
2005,Атбасарский,Atbasar,51.81,68.36,oats,10.92,18.16,212.9,1488.6,11,17,478.0,48.9,109.0,25.56,27.53,0.783,-265.1,0,,,0
2005,Атбасарский,Atbasar,51.81,68.36,rapeseed,6.17,18.16,212.9,1488.6,11,17,478.0,48.9,109.0,25.56,27.53,0.783,-265.1,0,,,0
2005,Атбасарский,Atbasar,51.81,68.36,spring_wheat,10.64,18.16,212.9,1488.6,11,17,478.0,48.9,109.0,25.56,27.53,0.783,-265.1,0,,,0
2005,Атбасарский,Atbasar,51.81,68.36,sunflower,4.56,18.16,212.9,1488.6,11,17,478.0,48.9,109.0,25.56,27.53,0.783,-265.1,0,,,0
2005,Буландынский,Bulandy,52.63,70.42,barley,12.48,17.46,311.9,1359.9,3,9,424.6,53.3,113.1,23.2,28.97,0.72,-112.7,0,,,0
2005,Буландынский,Bulandy,52.63,70.42,flax,4.68,17.46,311.9,1359.9,3,9,424.6,53.3,113.1,23.2,28.97,0.72,-112.7,0,,,0
2005,Буландынский,Bulandy,52.63,70.42,oats,11.96,17.46,311.9,1359.9,3,9,424.6,53.3,113.1,23.2,28.97,0.72,-112.7,0,,,0
2005,Буландынский,Bulandy,52.63,70.42,rapeseed,6.76,17.46,311.9,1359.9,3,9,424.6,53.3,113.1,23.2,28.97,0.72,-112.7,0,,,0
2005,Буландынский,Bulandy,52.63,70.42,spring_wheat,11.65,17.46,311.9,1359.9,3,9,424.6,53.3,113.1,23.2,28.97,0.72,-112.7,0,,,0
2005,Буландынский,Bulandy,52.63,70.42,sunflower,4.99,17.46,311.9,1359.9,3,9,424.6,53.3,113.1,23.2,28.97,0.72,-112.7,0,,,0
