district,district_en,year,tmean_mjja,tmax_mjja,tmin_mjja,precip_mjja_sum,heat_days_gt30,gdd_base5,vpd_proxy,rh_mjja,sw_mjja,ws_mjja,gwet_mjja
Атбасарский,Atbasar,2005,18.16,32.22,4.69,270.6,38,1616.9,0.783,63.1,21.27,2.67,0.665
Атбасарский,Atbasar,2006,17.5,34.11,3.54,124.7,49,1535.1,0.857,58.0,20.76,2.9,0.607
Атбасарский,Atbasar,2007,17.63,32.78,3.41,150.7,38,1554.4,0.817,60.4,21.3,3.0,0.645
Атбасарский,Atbasar,2008,19.54,34.84,4.27,108.6,58,1788.8,1.137,51.2,22.05,2.95,0.532
Атбасарский,Atbasar,2009,16.79,31.0,4.09,194.4,25,1447.9,0.83,57.2,21.15,3.06,0.62
Атбасарский,Atbasar,2010,19.38,33.7,4.83,90.4,53,1766.4,1.212,47.9,22.89,2.82,0.517
Атбасарский,Atbasar,2011,16.41,29.39,4.13,210.6,11,1403.0,0.706,62.2,21.06,2.88,0.66
Атбасарский,Atbasar,2012,19.66,34.51,6.52,166.2,56,1801.4,1.053,55.2,21.32,2.78,0.583
Атбасарский,Atbasar,2013,16.16,28.98,3.54,274.1,6,1370.3,0.658,64.7,20.59,2.98,0.688
Атбасарский,Atbasar,2014,17.76,33.4,4.02,181.6,41,1566.7,0.87,58.3,20.89,2.97,0.63
Атбасарский,Atbasar,2015,17.65,31.55,4.8,190.0,34,1553.8,0.816,60.4,21.41,3.08,0.647
Атбасарский,Atbasar,2016,17.12,28.72,3.76,186.7,4,1490.6,0.706,64.0,20.88,2.79,0.667
Атбасарский,Atbasar,2017,17.7,31.74,4.86,126.1,24,1560.2,0.851,58.8,22.11,2.85,0.625
Атбасарский,Atbasar,2018,15.76,30.39,3.08,218.7,16,1323.4,0.659,64.4,19.96,3.26,0.67
Атбасарский,Atbasar,2019,17.09,31.33,3.12,127.9,24,1487.6,0.83,58.7,21.76,2.89,0.635
Атбасарский,Atbasar,2020,18.13,32.73,4.63,169.5,33,1616.2,0.822,60.7,22.11,2.98,0.657
Атбасарский,Atbasar,2021,19.66,36.17,3.94,101.2,74,1803.6,1.118,51.6,22.29,2.88,0.54
Атбасарский,Atbasar,2022,18.09,33.45,4.02,148.6,41,1609.7,0.906,57.0,21.86,3.03,0.608
Атбасарский,Atbasar,2023,19.11,35.41,5.38,132.7,65,1735.5,1.074,53.5,21.75,2.81,0.585
Атбасарский,Atbasar,2024,16.45,28.95,4.88,368.5,8,1405.3,0.489,74.3,20.33,2.97,0.78
Атбасарский,Atbasar,2025,18.19,31.94,6.29,210.3,23,1621.1,0.717,66.2,21.24,2.75,0.693
Буландынский,Bulandy,2005,17.46,32.35,3.38,275.5,41,1530.7,0.72,64.6,20.05,2.79,0.63
Буландынский,Bulandy,2006,16.72,32.59,2.54,170.3,31,1438.2,0.742,62.0,19.6,2.91,0.61
Буландынский,Bulandy,2007,17.02,31.5,3.37,199.4,29,1479.0,0.739,62.8,20.36,3.14,0.633
Буландынский,Bulandy,2008,19.15,34.3,4.67,110.4,52,1740.0,1.108,51.5,21.12,3.05,0.475
Буландынский,Bulandy,2009,15.95,29.8,3.33,243.0,18,1345.4,0.716,60.9,19.84,3.17,0.605
Буландынский,Bulandy,2010,18.08,33.46,4.06,92.0,54,1607.1,1.05,51.6,21.76,2.95,0.505
Буландынский,Bulandy,2011,16.12,28.92,4.46,214.6,5,1366.3,0.696,62.1,20.16,2.98,0.605
Буландынский,Bulandy,2012,19.0,33.78,6.07,153.0,49,1721.8,1.015,55.5,20.38,2.81,0.527
Буландынский,Bulandy,2013,15.52,28.3,2.93,277.4,3,1292.2,0.605,66.4,19.99,2.99,0.67
Буландынский,Bulandy,2014,17.27,33.72,3.8,151.4,45,1506.5,0.849,58.2,20.32,3.06,0.573
Буландынский,Bulandy,2015,17.02,30.43,5.04,244.3,22,1476.4,0.73,63.1,20.34,3.17,0.637
Буландынский,Bulandy,2016,16.72,29.05,2.99,213.2,6,1441.2,0.662,65.0,20.41,2.83,0.632
Буландынский,Bulandy,2017,17.82,31.69,4.75,118.4,31,1575.0,0.907,56.7,21.35,3.08,0.557
Буландынский,Bulandy,2018,14.96,28.57,2.5,284.9,7,1223.4,0.576,67.2,19.32,3.27,0.65
Буландынский,Bulandy,2019,16.27,30.77,3.36,142.8,28,1387.9,0.748,61.5,21.13,2.86,0.615
Буландынский,Bulandy,2020,17.98,32.05,4.95,145.2,25,1598.5,0.823,60.6,21.88,3.02,0.613
Буландынский,Bulandy,2021,18.59,34.75,3.42,143.9,57,1673.2,0.955,55.6,21.55,2.92,0.547
Буландынский,Bulandy,2022,17.71,32.6,2.9,148.6,34,1562.3,0.872,57.9,21.14,3.07,0.56
Буландынский,Bulandy,2023,18.81,34.73,5.09,114.2,57,1698.0,1.102,52.2,21.06,2.82,0.508
Буландынский,Bulandy,2024,15.99,28.25,4.48,423.0,3,1348.6,0.44,76.4,19.39,2.93,0.772
Буландынский,Bulandy,2025,17.62,31.45,6.23,257.6,17,1551.1,0.654,68.2,20.16,2.88,0.672
Бурабайский,Burabay,2005,17.29,30.87,3.46,319.6,23,1509.2,0.676,66.2,20.05,2.81,0.573
Бурабайский,Burabay,2006,16.54,31.98,2.63,185.4,24,1416.2,0.712,63.2,19.6,3.03,0.557
Бурабайский,Burabay,2007,16.7,31.16,3.22,253.4,24,1438.8,0.675,65.1,20.36,3.27,0.588
Бурабайский,Burabay,2008,18.82,33.34,4.44,115.5,40,1699.3,1.048,53.1,21.12,3.18,0.432
Бурабайский,Burabay,2009,15.95,29.62,3.27,241.0,19,1345.6,0.722,60.6,19.84,3.26,0.52
Бурабайский,Burabay,2010,17.99,33.26,4.01,87.4,50,1595.7,1.03,52.1,21.76,3.03,0.448
Бурабайский,Burabay,2011,15.85,28.74,4.59,226.1,6,1332.7,0.653,63.8,20.16,3.03,0.54
Бурабайский,Burabay,2012,18.62,33.98,5.79,182.4,49,1674.6,0.932,57.9,20.38,2.87,0.485
Бурабайский,Burabay,2013,15.33,27.37,2.63,300.3,0,1268.1,0.58,67.4,19.99,3.03,0.605
Бурабайский,Burabay,2014,16.73,32.17,3.52,214.6,27,1439.7,0.755,61.4,20.32,3.15,0.54
Бурабайский,Burabay,2015,16.83,29.94,4.63,254.5,18,1452.7,0.707,63.8,20.34,3.29,0.57
Бурабайский,Burabay,2016,16.58,28.34,2.97,241.5,0,1424.5,0.629,66.4,20.41,2.9,0.578
Бурабайский,Burabay,2017,17.32,30.56,4.72,134.7,17,1514.1,0.817,59.5,21.35,3.18,0.525
Бурабайский,Burabay,2018,14.82,28.33,2.54,318.5,2,1206.7,0.562,67.6,19.32,3.41,0.575
Бурабайский,Burabay,2019,15.94,30.2,2.79,170.0,23,1347.3,0.684,64.0,21.13,2.98,0.59
Бурабайский,Burabay,2020,17.84,32.06,5.19,158.2,25,1581.1,0.798,61.4,21.88,3.08,0.542
Бурабайский,Burabay,2021,18.57,34.6,3.33,153.8,55,1670.6,0.946,55.9,21.55,2.99,0.492
Бурабайский,Burabay,2022,17.4,31.93,2.78,176.3,27,1524.8,0.813,59.5,21.14,3.17,0.505
Бурабайский,Burabay,2023,18.58,34.48,4.95,138.2,54,1669.7,1.044,53.6,21.06,2.9,0.463
Бурабайский,Burabay,2024,15.9,27.67,4.5,394.0,0,1337.1,0.442,76.0,19.39,3.11,0.703
Бурабайский,Burabay,2025,17.55,31.05,6.5,252.5,14,1541.9,0.652,68.3,20.16,3.02,0.593
Есильский,Esil,2005,19.25,32.98,5.66,215.2,42,1751.7,0.959,57.8,21.54,2.73,0.463
Есильский,Esil,2006,18.54,34.56,3.73,122.7,55,1662.7,1.011,53.5,21.21,2.95,0.432
Есильский,Esil,2007,18.54,33.3,4.84,150.1,40,1665.2,0.939,57.1,21.54,3.07,0.477
Есильский,Esil,2008,20.09,34.7,4.92,114.1,56,1857.1,1.221,49.5,22.08,2.97,0.405
Есильский,Esil,2009,17.89,31.62,4.54,144.3,29,1583.9,1.007,52.0,21.15,3.13,0.425
Есильский,Esil,2010,20.42,33.84,5.9,78.9,50,1894.1,1.377,44.3,22.84,2.82,0.38
Есильский,Esil,2011,17.46,30.32,5.28,231.1,22,1531.4,0.833,58.3,21.35,2.94,0.482
Есильский,Esil,2012,20.63,35.27,6.98,126.8,64,1921.3,1.224,51.1,21.76,2.91,0.408
Есильский,Esil,2013,17.68,30.73,4.94,194.8,16,1558.1,0.868,58.0,20.9,3.1,0.473
Есильский,Esil,2014,19.02,35.06,5.29,161.0,61,1722.1,1.06,52.9,21.21,3.19,0.43
Есильский,Esil,2015,18.67,33.2,4.74,154.5,44,1678.6,0.978,55.9,21.4,3.13,0.455
Есильский,Esil,2016,17.72,29.01,4.43,251.4,6,1565.6,0.765,62.9,21.32,2.83,0.53
Есильский,Esil,2017,18.15,32.17,5.4,146.8,28,1616.0,0.891,58.0,22.32,2.88,0.485
Есильский,Esil,2018,16.77,31.16,3.38,158.7,24,1447.9,0.788,60.4,20.61,3.38,0.47
Есильский,Esil,2019,18.34,33.44,3.72,119.9,43,1641.1,1.031,52.4,21.61,3.06,0.435
Есильский,Esil,2020,19.12,33.61,5.21,157.7,43,1738.3,0.979,56.4,22.41,3.08,0.468
Есильский,Esil,2021,20.7,36.84,3.85,79.3,82,1932.1,1.29,47.6,22.73,2.93,0.393
Есильский,Esil,2022,18.84,33.34,5.03,125.8,40,1701.9,1.028,53.3,21.96,3.14,0.422
Есильский,Esil,2023,19.86,36.34,6.98,166.1,76,1827.2,1.183,50.6,21.73,2.91,0.43
Есильский,Esil,2024,17.33,30.2,5.94,266.4,23,1513.3,0.61,70.0,20.31,3.17,0.573
Есильский,Esil,2025,19.0,33.05,6.95,228.2,38,1720.4,0.837,62.6,21.24,2.85,0.505
Кокшетау,Kokshetau,2005,17.83,31.69,3.62,352.5,30,1575.7,0.701,66.0,19.88,2.71,0.637
Кокшетау,Kokshetau,2006,17.12,32.86,2.91,185.0,34,1487.5,0.748,62.7,19.33,2.97,0.613
Кокшетау,Kokshetau,2007,17.16,31.9,3.6,251.6,31,1496.2,0.686,65.8,19.8,3.19,0.65
Кокшетау,Kokshetau,2008,19.03,34.47,4.21,143.0,54,1725.5,1.032,54.4,20.42,3.09,0.5
Кокшетау,Kokshetau,2009,16.6,31.07,3.49,223.6,26,1425.5,0.772,59.7,20.04,3.09,0.58
Кокшетау,Kokshetau,2010,18.63,34.0,4.58,72.0,55,1675.2,1.107,50.5,21.2,2.96,0.473
Кокшетау,Kokshetau,2011,16.07,28.68,4.9,251.3,8,1360.7,0.631,65.5,19.29,2.87,0.625
Кокшетау,Kokshetau,2012,19.01,34.95,6.13,202.2,59,1721.7,0.939,58.6,19.7,2.76,0.547
Кокшетау,Kokshetau,2013,15.85,28.26,3.1,295.4,5,1332.2,0.6,67.4,19.7,2.93,0.655
Кокшетау,Kokshetau,2014,17.21,32.59,3.66,209.2,31,1499.4,0.779,61.3,19.67,3.1,0.595
Кокшетау,Kokshetau,2015,17.37,31.16,4.77,224.2,30,1518.1,0.753,62.9,19.79,3.23,0.615
Кокшетау,Kokshetau,2016,17.05,28.8,3.45,274.7,1,1482.1,0.634,67.2,19.91,2.74,0.657
Кокшетау,Kokshetau,2017,17.52,30.71,5.03,171.5,15,1538.7,0.791,61.3,20.61,3.06,0.6
Кокшетау,Kokshetau,2018,15.27,29.03,3.02,347.2,6,1262.5,0.579,67.5,19.2,3.3,0.64
Кокшетау,Kokshetau,2019,16.51,30.77,3.19,175.1,26,1417.4,0.719,63.4,19.96,2.96,0.633
Кокшетау,Kokshetau,2020,18.52,33.26,5.53,163.8,39,1665.0,0.851,60.5,21.29,2.98,0.585
Кокшетау,Kokshetau,2021,19.24,35.88,3.21,152.9,71,1752.7,1.002,55.2,21.66,2.9,0.54
Кокшетау,Kokshetau,2022,17.84,32.78,3.46,197.4,34,1578.1,0.828,59.5,20.8,3.1,0.568
Кокшетау,Kokshetau,2023,19.21,35.43,5.55,152.6,65,1747.2,1.096,52.7,20.78,2.84,0.507
Кокшетау,Kokshetau,2024,16.45,28.75,5.09,344.8,8,1404.6,0.489,74.2,19.04,3.1,0.728
Кокшетау,Kokshetau,2025,18.05,31.47,6.96,278.6,21,1603.9,0.672,68.3,19.25,2.92,0.647
Сандыктауский,Sandyktau,2005,17.11,30.65,3.29,314.2,23,1488.1,0.657,66.9,20.27,2.65,0.69
Сандыктауский,Sandyktau,2006,16.58,32.87,2.63,146.6,34,1421.1,0.747,61.4,19.56,2.92,0.633
Сандыктауский,Sandyktau,2007,16.59,31.17,2.63,217.0,25,1425.9,0.687,64.5,20.32,3.02,0.682
Сандыктауский,Sandyktau,2008,18.71,33.57,3.8,110.0,43,1687.1,1.045,53.1,21.07,3.01,0.518
Сандыктауский,Sandyktau,2009,15.76,29.36,3.1,232.8,16,1321.1,0.714,60.8,20.32,3.08,0.645
Сандыктауский,Sandyktau,2010,18.34,32.96,3.9,89.2,48,1639.2,1.092,50.3,22.06,2.88,0.517
Сандыктауский,Sandyktau,2011,15.46,27.86,3.74,228.9,3,1285.1,0.609,65.4,19.86,2.85,0.672
Сандыктауский,Sandyktau,2012,18.7,33.58,5.93,175.0,49,1683.4,0.942,57.7,20.5,2.78,0.593
Сандыктауский,Sandyktau,2013,15.04,27.62,2.45,341.8,2,1233.6,0.541,69.0,20.12,2.9,0.73
Сандыктауский,Sandyktau,2014,16.67,31.59,3.65,208.8,23,1433.2,0.75,61.5,20.06,2.98,0.65
Сандыктауский,Sandyktau,2015,16.77,30.11,4.3,213.8,22,1445.1,0.719,63.1,20.3,3.1,0.66
Сандыктауский,Sandyktau,2016,16.38,27.9,2.73,195.8,2,1400.0,0.637,66.1,20.22,2.79,0.677
Сандыктауский,Sandyktau,2017,16.9,30.13,4.28,141.5,10,1461.9,0.769,61.1,21.27,2.89,0.633
Сандыктауский,Sandyktau,2018,14.79,28.41,2.46,262.6,9,1203.4,0.567,67.6,19.58,3.25,0.693
Сандыктауский,Sandyktau,2019,16.13,30.43,2.89,139.4,21,1370.3,0.735,61.7,20.78,2.88,0.65
Сандыктауский,Sandyktau,2020,17.43,31.69,4.26,168.0,20,1529.4,0.756,62.4,21.57,2.96,0.662
