district,district_en,year,precip_515_831,dry_streak_max,heat30_count,gdd5,et0_sum,sm_mean,tmean_om,n_days,p30_anom_pct,precip_clim_0520
Атбасарский,Atbasar,2005,212.9,17,11,1488.6,478.0,,18.66,109,48.9,143.0
Атбасарский,Atbasar,2006,82.9,17,16,1538.0,528.4,,19.11,109,-42.0,143.0
Атбасарский,Atbasar,2007,76.7,13,13,1510.1,520.9,,18.85,109,-46.4,143.0
Атбасарский,Atbasar,2008,97.9,20,19,1712.8,577.9,,20.71,109,-31.5,143.0
Атбасарский,Atbasar,2009,194.8,17,6,1357.6,484.0,,17.46,109,36.2,143.0
Атбасарский,Atbasar,2010,69.1,15,33,1682.2,615.8,,20.43,109,-51.7,143.0
Атбасарский,Atbasar,2011,236.0,9,8,1378.7,468.7,,17.65,109,65.0,143.0
Атбасарский,Atbasar,2012,115.5,18,31,1763.3,582.3,,21.18,109,-19.2,143.0
Атбасарский,Atbasar,2013,260.3,10,1,1365.6,468.3,,17.53,109,82.0,143.0
Атбасарский,Atbasar,2014,132.3,32,17,1489.0,511.6,,18.66,109,-7.5,143.0
Атбасарский,Atbasar,2015,173.8,14,12,1480.4,526.3,,18.58,109,21.5,143.0
Атбасарский,Atbasar,2016,132.3,15,3,1481.9,480.8,,18.6,109,-7.5,143.0
Атбасарский,Atbasar,2017,94.8,22,11,1488.2,516.8,,18.65,109,-33.7,143.0
Атбасарский,Atbasar,2018,179.2,12,5,1387.1,489.7,,17.73,109,25.3,143.0
Атбасарский,Atbasar,2019,110.7,19,17,1461.8,537.8,,18.41,109,-22.6,143.0
Атбасарский,Atbasar,2020,118.7,26,22,1574.3,546.7,,19.44,109,-17.0,143.0
Атбасарский,Atbasar,2021,83.1,39,29,1662.5,576.3,,20.25,109,-41.9,143.0
Атбасарский,Atbasar,2022,143.7,11,14,1567.5,559.5,,19.38,109,0.5,143.0
Атбасарский,Atbasar,2023,176.7,20,26,1631.2,572.7,,19.96,109,23.6,143.0
Атбасарский,Atbasar,2024,293.8,8,7,1411.5,445.8,,17.94,109,105.5,143.0
Атбасарский,Atbasar,2025,234.2,12,5,1492.7,497.6,,18.69,109,63.8,143.0
Буландынский,Bulandy,2005,311.9,9,3,1359.9,424.6,,17.48,109,53.3,203.4
Буландынский,Bulandy,2006,187.5,7,4,1341.3,446.9,,17.31,109,-7.8,203.4
Буландынский,Bulandy,2007,199.4,7,10,1358.9,468.1,,17.47,109,-2.0,203.4
Буландынский,Bulandy,2008,129.0,19,10,1526.2,517.2,,19.0,109,-36.6,203.4
Буландынский,Bulandy,2009,250.9,8,4,1220.3,430.6,,16.15,109,23.3,203.4
Буландынский,Bulandy,2010,99.4,12,17,1467.0,543.7,,18.45,109,-51.1,203.4
Буландынский,Bulandy,2011,249.6,12,1,1248.5,422.6,,16.45,109,22.7,203.4
Буландынский,Bulandy,2012,141.2,13,21,1609.0,534.7,,19.76,109,-30.6,203.4
Буландынский,Bulandy,2013,298.0,18,0,1215.4,426.3,,16.15,109,46.5,203.4
Буландынский,Bulandy,2014,203.0,13,13,1316.5,458.9,,17.08,109,-0.2,203.4
Буландынский,Bulandy,2015,229.6,15,5,1343.6,473.1,,17.33,109,12.9,203.4
Буландынский,Bulandy,2016,212.9,15,0,1347.7,421.9,,17.36,109,4.7,203.4
Буландынский,Bulandy,2017,128.1,22,6,1366.9,489.3,,17.53,109,-37.0,203.4
