year,district_en,crop_group,area_ha,source
2005,Akmola_oblast,grain,3604292,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=по области
2006,Akmola_oblast,grain,3702436,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=по области
2007,Akmola_oblast,grain,3875187,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=по области
2008,Akmola_oblast,grain,4131350,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=по области
2009,Akmola_oblast,grain,4542656,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=по области
2010,Akmola_oblast,grain,4433672,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=по области
2011,Akmola_oblast,grain,4278933,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=по области
2012,Akmola_oblast,grain,4353709,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=по области
2013,Akmola_oblast,grain,4252009,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=по области
2014,Akmola_oblast,grain,4173378,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=по области
2015,Akmola_oblast,grain,4193826,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=по области
2016,Akmola_oblast,grain,4353423,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=по области
2017,Akmola_oblast,grain,4350556,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=по области
2018,Akmola_oblast,grain,4334225,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=по области
2019,Akmola_oblast,grain,4447890,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=по области
2020,Akmola_oblast,grain,4462838,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=по области
2021,Akmola_oblast,grain,4585629,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=по области
2022,Akmola_oblast,grain,4670646,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=по области
2023,Akmola_oblast,grain,4915073,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=по области
2024,Akmola_oblast,grain,4693012,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=по области
2025,Akmola_oblast,grain,4680325,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=по области
2005,Atbasar,grain,322786,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Атбасарский
2006,Atbasar,grain,320665,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Атбасарский
2007,Atbasar,grain,347106,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Атбасарский
2008,Atbasar,grain,365767,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Атбасарский
2009,Atbasar,grain,423283,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Атбасарский
2010,Atbasar,grain,426494,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Атбасарский
2011,Atbasar,grain,416823,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Атбасарский
2012,Atbasar,grain,416478,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Атбасарский
2013,Atbasar,grain,406793,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Атбасарский
2014,Atbasar,grain,401156,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Атбасарский
2015,Atbasar,grain,382538,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Атбасарский
2016,Atbasar,grain,395505,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Атбасарский
2017,Atbasar,grain,398796,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Атбасарский
2018,Atbasar,grain,394144,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Атбасарский
2019,Atbasar,grain,395124,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Атбасарский
2020,Atbasar,grain,387609,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Атбасарский
2021,Atbasar,grain,390995,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Атбасарский
2022,Atbasar,grain,394284,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Атбасарский
2023,Atbasar,grain,417090,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Атбасарский
2024,Atbasar,grain,421235,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Атбасарский
2025,Atbasar,grain,408081,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Атбасарский
2005,Bulandy,grain,178171,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Буландынский
2006,Bulandy,grain,188787,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Буландынский
2007,Bulandy,grain,198509,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Буландынский
2008,Bulandy,grain,217375,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Буландынский
