year,district,crop,yield_c_ha,source
2005,Зерендинский,spring_wheat,11.87,"BNS stat.gov.kz (dynamic-tables akmola/1485; gross-harvest 2024 pub. 04.02.2025) + grainunion.kz/APK-Inform anchors 2022-2024 + akimat Akmola 2024 6.6Mt / 2025 7.6Mt 16.3c/ha (prelim 2025) + FAOSTAT QCL shape 2005-2021/USDA-GAIN validation; district=oblast_anchor*agrocoef (downscaling, documented)"
2005,Зерендинский,barley,12.72,"BNS stat.gov.kz (dynamic-tables akmola/1485; gross-harvest 2024 pub. 04.02.2025) + grainunion.kz/APK-Inform anchors 2022-2024 + akimat Akmola 2024 6.6Mt / 2025 7.6Mt 16.3c/ha (prelim 2025) + FAOSTAT QCL shape 2005-2021/USDA-GAIN validation; district=oblast_anchor*agrocoef (downscaling, documented)"
2005,Зерендинский,oats,12.19,"BNS via CEIC KZ.B019 oats (2016 16.0, 2017 13.3, 2011 max 18.0) + USDA FAS GAIN KZ2023-0002 (2022 11.6) / KZ2024-0002 (2023 7.9) + Interfax/MinAgro 30.09.2024 (2024 15.8) + 2025 PRELIM 16.9 (cereals +7.2% trend); 2005-2021 shape FAOSTAT QCL drought profile; district=oblast_anchor*agrocoef (downscaling, documented)"
2005,Зерендинский,sunflower,5.09,"BNS via CEIC sunflower (2016 9.3, 2017 10.2) + OCL 2025 avg 2019-2023 7.9 + USDA GAIN KZ2025-0010 (0.8 in 2014 -> 1.5 in 2024) + APK-Inform/BNS 2024 14.6 / 2025 13.9 (10.02.2026); 2022-2023 interp. to OCL mean; district=oblast_anchor*agrocoef (downscaling)"
2005,Зерендинский,rapeseed,6.89,"Helgi/FAOSTAT rapeseed KZ (2021 12.34, 2022 14.15 c/ha) + OCL 2025 avg 12.2 + APK-Inform/BNS 2022 14.2 / 2023 13.3 / 2024 19.2 / 2025 19.5 (10.02.2026); district=oblast_anchor*agrocoef (downscaling, documented)"
2005,Зерендинский,flax,4.77,"OCL 2025 avg 2019-2023 6.6 + APK-Inform/BNS 2022 6.3 / 2023 5.0 / 2024 8.7; 2025 8.3 PRELIM (BNS flax 2025 not published); district=oblast_anchor*agrocoef (downscaling, documented)"
2006,Зерендинский,spring_wheat,13.25,"BNS stat.gov.kz (dynamic-tables akmola/1485; gross-harvest 2024 pub. 04.02.2025) + grainunion.kz/APK-Inform anchors 2022-2024 + akimat Akmola 2024 6.6Mt / 2025 7.6Mt 16.3c/ha (prelim 2025) + FAOSTAT QCL shape 2005-2021/USDA-GAIN validation; district=oblast_anchor*agrocoef (downscaling, documented)"
2006,Зерендинский,barley,13.99,"BNS stat.gov.kz (dynamic-tables akmola/1485; gross-harvest 2024 pub. 04.02.2025) + grainunion.kz/APK-Inform anchors 2022-2024 + akimat Akmola 2024 6.6Mt / 2025 7.6Mt 16.3c/ha (prelim 2025) + FAOSTAT QCL shape 2005-2021/USDA-GAIN validation; district=oblast_anchor*agrocoef (downscaling, documented)"
2006,Зерендинский,oats,13.57,"BNS via CEIC KZ.B019 oats (2016 16.0, 2017 13.3, 2011 max 18.0) + USDA FAS GAIN KZ2023-0002 (2022 11.6) / KZ2024-0002 (2023 7.9) + Interfax/MinAgro 30.09.2024 (2024 15.8) + 2025 PRELIM 16.9 (cereals +7.2% trend); 2005-2021 shape FAOSTAT QCL drought profile; district=oblast_anchor*agrocoef (downscaling, documented)"
2006,Зерендинский,sunflower,5.51,"BNS via CEIC sunflower (2016 9.3, 2017 10.2) + OCL 2025 avg 2019-2023 7.9 + USDA GAIN KZ2025-0010 (0.8 in 2014 -> 1.5 in 2024) + APK-Inform/BNS 2024 14.6 / 2025 13.9 (10.02.2026); 2022-2023 interp. to OCL mean; district=oblast_anchor*agrocoef (downscaling)"
